名称,地址,房型,面积,朝向,装修,楼层,建成时间,楼层结构,总价格,平方价格,关注度,发布时间
荣盛香榭兰庭二期 3室1厅 西北,东客站,3室1厅,73.47平米,西北,精装,低楼层(共23层),2016年建,板楼,159万,"21,642元/平",27人关注,7个月以前发布
建发金沙里 6室1厅 南,金沙,6室1厅,197.61平米,南,精装,高楼层(共30层),2012年建,板楼,650万,"32,894元/平",1人关注,4天以前发布
花样年香门第北区 5室2厅 南,郫县城区,5室2厅,144.78平米,南,毛坯,中楼层(共34层),2019年建,塔楼,215万,"14,851元/平",0人关注,2天以前发布
优客联邦三期 3室1厅 东南,丽都,3室1厅,87.92平米,东南,毛坯,中楼层(共18层),2012年建,板楼,198万,"22,521元/平",3人关注,8天以前发布
兰桂香林 2室2厅 南,郫县城区,2室2厅,84.34平米,南,毛坯,低楼层(共6层),2008年建,板楼,45万,"5,336元/平",1人关注,6天以前发布
建信奥林匹克花园 1室1厅 北,光华大道沿线,1室1厅,26.84平米,北,简装,高楼层(共9层),2006年建,板塔结合,20.5万,"7,638元/平",335人关注,一年前发布
汇阳新村 3室2厅 南 西南,营门口,3室2厅,100.32平米,南 西南,简装,中楼层(共6层),2003年建,板楼,109万,"10,866元/平",63人关注,一年前发布
中粮香颂丽都 3室2厅 西北,丽都,3室2厅,88.88平米,西北,精装,中楼层(共19层),2015年建,板楼,252万,"28,353元/平",1人关注,7天以前发布
澳深花园 4室1厅 东南,猛追湾,4室1厅,186.53平米,东南,简装,高楼层(共10层),2001年建,板楼,240万,"12,867元/平",4人关注,7天以前发布
狮子巷60号 3室1厅 东南,草市街,3室1厅,59.78平米,东南,毛坯,低楼层(共8层),1995年建,板塔结合,73.8万,"12,346元/平",0人关注,3天以前发布
保利熙公馆 3室2厅 东南,郫县万达,3室2厅,121.6平米,东南,精装,中楼层(共31层),2019年建,塔楼,149万,"12,254元/平",0人关注,8天以前发布
翠拥天地 3室1厅 南,华阳,3室1厅,114.83平米,南,精装,5层,2005年建,板楼,205万,"17,853元/平",1人关注,7天以前发布
锦城名都 3室1厅 东南,营门口,3室1厅,95.7平米,东南,简装,中楼层(共33层),2009年建,板塔结合,182万,"19,018元/平",2人关注,6天以前发布
巴黎都市 3室2厅 南,航空港,3室2厅,83.72平米,南,毛坯,低楼层(共18层),2015年建,塔楼,135万,"16,126元/平",0人关注,5天以前发布
棕南公寓 3室2厅 南,棕北,3室2厅,143.02平米,南,简装,高楼层(共10层),2000年建,板楼,270万,"18,879元/平",1人关注,5天以前发布
东洪广厦 3室1厅 东南,三圣乡,3室1厅,87.34平米,东南,精装,低楼层(共33层),2013年建,板塔结合,135万,"15,457元/平",4人关注,7天以前发布
万科翡翠公园 4室1厅 南,南湖,4室1厅,121.57平米,南,精装,低楼层(共35层),2019年建,板楼,315万,"25,911元/平",6人关注,6天以前发布
顶峰水岸汇景 3室1厅 东北,营门口,3室1厅,133.07平米,东北,毛坯,中楼层(共33层),2011年建,板塔结合,289万,"21,718元/平",2人关注,4天以前发布
温馨苑 3室1厅 西北,龙泉驿城区,3室1厅,47.09平米,西北,简装,高楼层(共7层),2005年建,板楼,46万,"9,769元/平",3人关注,7天以前发布
花桥雅苑 3室1厅 东南,五津,3室1厅,106.58平米,东南,毛坯,中楼层(共7层),2018年建,板塔结合,56.8万,"5,330元/平",0人关注,4天以前发布
天鹅湖北苑 3室1厅 东南 南,新会展,3室1厅,88.57平米,东南 南,简装,高楼层(共31层),2007年建,板塔结合,156万,"17,614元/平",2人关注,5天以前发布
华都云景台 3室1厅 东南,万年场,3室1厅,94.17平米,东南,精装,低楼层(共42层),2018年建,塔楼,230万,"24,424元/平",1人关注,3天以前发布
逸都国际 3室1厅 北,大源,3室1厅,117.6平米,北,简装,高楼层(共18层),2011年建,板塔结合,345万,"29,337元/平",0人关注,4天以前发布
中铁西郡英华二期 3室2厅 东南,红光,3室2厅,89.83平米,东南,精装,低楼层(共31层),2013年建,板塔结合,96.8万,"10,776元/平",1人关注,5天以前发布
蓝光金双楠一期 3室2厅 东 东南,草金立交,3室2厅,72.67平米,东 东南,精装,中楼层(共25层),2015年建,板塔结合,167万,"22,981元/平",0人关注,5天以前发布
中铁城锦南汇 3室1厅 东,中德,3室1厅,89.21平米,东,精装,中楼层(共39层),2016年建,板塔结合,215万,"24,101元/平",0人关注,3天以前发布
丽景华庭二期 2室1厅 南,外双楠,2室1厅,94.75平米,南,简装,低楼层(共12层),2006年建,板楼,154万,"16,254元/平",0人关注,4天以前发布
米兰香洲 3室2厅 西南,外金沙,3室2厅,97.21平米,西南,精装,高楼层(共18层),2007年建,塔楼,196万,"20,163元/平",0人关注,9天以前发布
憩园公寓 3室2厅 东南,花牌坊,3室2厅,135.65平米,东南,简装,中楼层(共7层),2000年建,板塔结合,136万,"10,026元/平",3人关注,12天以前发布
华都美林湾 1室0厅 西南,三圣乡,1室0厅,36.56平米,西南,精装,高楼层(共33层),2012年建,塔楼,72万,"19,694元/平",0人关注,6天以前发布
水韵尚城 3室1厅 东南,温江大学城,3室1厅,148.52平米,东南,毛坯,低楼层(共25层),2009年建,板塔结合,134万,"9,023元/平",2人关注,12天以前发布
保利金香槟 3室2厅 西南,外金沙,3室2厅,89.18平米,西南,简装,低楼层(共18层),2012年建,板塔结合,189万,"21,194元/平",2人关注,15天以前发布
香槟花园 3室2厅 南 北,优品道,3室2厅,123.66平米,南 北,简装,低楼层(共6层),2005年建,板楼,260万,"21,026元/平",4人关注,12天以前发布
万基金蓝湾 4室2厅 西南 西,红光,4室2厅,132.15平米,西南 西,精装,高楼层(共24层),2009年建,板塔结合,100万,"7,568元/平",0人关注,12天以前发布
首创国际城一期 2室1厅 南,成渝立交,2室1厅,83.69平米,南,简装,低楼层(共18层),2010年建,塔楼,132万,"15,773元/平",2人关注,4天以前发布
锦城国际 3室2厅 南 北,彭州,3室2厅,105.08平米,南 北,精装,高楼层(共27层),2020年建,暂无数据,115万,"10,945元/平",0人关注,15天以前发布
温哥华花园四期 2室1厅 南,航空港,2室1厅,59.84平米,南,精装,中楼层(共16层),2013年建,塔楼,81万,"13,537元/平",0人关注,5天以前发布
华润凤凰城一期 3室1厅 东北,大源,3室1厅,134.85平米,东北,精装,低楼层(共27层),2013年建,板塔结合,430万,"31,888元/平",2人关注,10天以前发布
御龙山二期 3室2厅 西,万年场,3室2厅,89.6平米,西,简装,低楼层(共49层),2017年建,板塔结合,204万,"22,768元/平",1人关注,14天以前发布
上霖东方 2室2厅 东南,万年场,2室2厅,71.48平米,东南,简装,中楼层(共24层),2010年建,板塔结合,128万,"17,908元/平",2人关注,9天以前发布
上锦颐园佳境 4室2厅 南,高新西,4室2厅,127.43平米,南,精装,高楼层(共26层),2012年建,板塔结合,138万,"10,830元/平",1人关注,8天以前发布
